filename,notes,authors,licenses,urls
"body/bodies/muscular/walk.png","see details at https://opengameart.org/content/lpc-character-bases","bluecarrot16, JaidynReiman, Evert, TheraHedwig, MuffinElZangano, Durrani, Sander Frenken (castelonia), Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), dalonedrau, Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-barbarian-sprite-base, https://opengameart.org/content/lpc-muscular-swing-animation, https://opengameart.org/content/lpc-muscular-hurt-animation, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-character-bases, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani"
"head/heads/orc/male/walk.png","Sinbad the ogre design by Zi Ye, original 4-direction sprite by Redshrike, additional hurt/cast animations by makrohn, headless version by bluecarrot16","bluecarrot16, Matthew Krohn (makrohn), Stephen Challener (Redshrike), Zi Ye","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/four-characters-my-lpc-entries, https://opengameart.org/content/sinbad-the-ogre, https://opengameart.org/content/lpc-male-sheets, https://opengameart.org/content/lpc-character-bases"
"head/nose/large/adult/walk.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head/Head%20Overlay%2001%20-%20Large%20Nose, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"legs/skirts/legion/male/walk.png","original by Nila122 to legion, adapted to v3 bases by bluecarrot16, climb/jump/sit/run by JaidynReiman","bluecarrot16, Nila122, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-expanded-armour"
"hair/buzzcut/adult/walk.png","","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-hair"
"feet/sandals/male/walk.png","edited for v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","Nila122, JaidynReiman, Matthew Krohn (makrohn), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-expanded-socks-shoes"
"arms/wrists/lace/male/walk.png","Original by bluecarrot16, climb/jump/sit/emote/run by JaidynReiman","bluecarrot16, JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-pirates"
"shoulders/epaulets/male/walk.png","Original by bluecarrot16, jump/run/sit/emote/revised combat frames and female by JaidynReiman","bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates"
"shoulders/bauldron/male/walk.png","Original by Nila122, climb/jump/sit/emote/run by JaidynReiman","Nila122, JaidynReiman","GPL 2.0, GPL 3.0, OGA-BY 3.0, CC-BY-SA 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
"shadow/adult/walk.png","Original by Dr. Jamgo, jump/sit/emote/run/revised combat by JaidynReiman","drjamgo@hotmail.com, JaidynReiman","CC0","https://opengameart.org/content/shadow-for-lpc-sprite"
